supermarket,prices_(£),prices_unit_(£),unit,names,date,category,own_brand,year,month,day,dayofweek
Aldi,1.99,55.3,kg,"Ella's Kitchen Sweet Potato, Apple + Rosemary Melty Hoo",1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.29,22.9,kg,Bear Strawberry + Apple Little Paws 5 X 20g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,2.29,22.9,kg,Bear Real Yummy Raspberry + Blueberry Little Paws 5 X 2,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.29,12.9,kg,Ella's Kitchen Jacket Potato With Beans 6+ Months 100g,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.29,12.9,kg,Ella's Kitchen Creamy Pesto Pasta With Chicken + Mushro,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.29,12.9,kg,Ella's Kitchen Sweet Potato Falafel With Hummus 6+ Mont,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.29,12.9,kg,Ella's Kitchen Veggie Dahl With Cauliflower 6+ Months 1,1970-01-01 00:00:00.020240413,baby_products,False,1970,1,1,3
Aldi,1.25,9.1,kg,Skittles Chewies Vegan Sweets Fruit Flavoured Pouch Bag,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.99,9.9,kg,Skinny Whip Mint & Dark Chocolate 5 X 20g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.72,1.4,kg,Cucina Macaroni Pasta 500g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.65,16.2,kg,Maltesers Milk Chocolate & Honeycomb Bites Bag Fairtrad,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.99,9.9,kg,Skinny Whip Chocolate Orange 5 X 20g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.99,9.9,kg,Skinny Whip Toffee 5 X 20g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.25,13.2,kg,Skinny Crunch Light Chocolate Fudge 19g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.25,13.2,kg,Skinny Crunch Light Salted Caramel 19g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.99,18.1,kg,Specially Selected Pink Himalayan Rock Salt 110g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.99,49.7,kg,Specially Selected Rainbow Peppercorns 40g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,0.69,3.9,kg,Four Seasons Mandarin Segments In Juice 300g (175 G Dra,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.65,15.4,kg,M&M's Crispy Milk Chocolate Bites Pouch Bag 107g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.65,13.2,kg,Galaxy Minstrels Chocolate Pouch Bag 125g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.65,14.7,kg,"Revels Milk Chocolate With Raisins, Coffee Or Orange Bi",1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.85,11.2,kg,Pringles Original 165g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.69,17.3,kg,"Ready, Set…Cook! Smoked Paprika 40g",1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.39,36.8,kg,Extra Peppermint Sugarfree Chewing Gum Multipack 3x 9 P,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.99,6.6,l,Coco Loco Organic Coconut Oil 300ml,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.65,3.3,kg,The Pantry Bicarbonate Of Soda 200g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.65,0.9,kg,"Ready, Set…Cook! Table Salt 750g",1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.09,2.2,kg,Harvest Morn Honey Nut Cornflakes 500g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.19,9.9,kg,Chupa Chups The Best Of 10 Assorted Flavour Lollipops 1,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.25,13.2,kg,Skinny Crunch Light Raspberry & White Chocolate 19g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.39,36.8,kg,Wrigley's Extra White Bubblemint 37.8g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.19,11.9,kg,Snackrite Prawn Crackers 100g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.55,15.7,kg,Bramwells Medium Peri-peri Marinade 35g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.25,4.5,kg,Foodie Market Crunchy Peanut Butter 280g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.59,6.4,kg,Bramwells Peri-peri Sauce & Marinade 250g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.59,6.4,kg,Bramwells Peri-peri Hot Sauce & Marinade 250g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.95,12.7,kg,Dominion Sugar Free Mini Gums 75g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.95,12.7,kg,Dominion Sugar Free Sweet Liquorice 75g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.99,5.0,kg,Dominion Blackcurrant & Liquorice Sweets 200g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.85,5.3,kg,Specially Selected Kalamata Greek Olives 350g (180g Dra,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,3.09,6.18,kg,The Foodie Market Soft Apricots 500g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.85,2.3,kg,Harvest Morn Crisp Rice Cereal 375g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.15,7.7,kg,Specially Selected Lightly Sea Salted Hand Cooked Crisp,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.99,10.0,kg,Brochan Raspberry & Honey Porridge Oat Bars 4x50g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.45,6.9,kg,Brochan Golden Syrup Flavoured Porridge Pot 65g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.95,1.9,kg,Worldwide Foods Boil In Bag Long Grain Rice 500g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.39,1.56,kg,The Foodie Market Totally Nuts & Seeds 25g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.39,1.56,kg,The Foodie Market Exotic Coconut Mix 25g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.99,9.0,kg,The Fishmonger Tuna Steaks In Brine 110g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.99,9.0,kg,The Fishmonger Tuna Steaks In Sunflower Oil 110g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.69,4.2,kg,Nutoka Hazelnut Chocolate Spread 400g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.79,4.0,kg,Dominion Butter Mintoes 200g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.09,1.1,kg,Brochan Scottish Porridge Oats 1kg,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.89,2.2,kg,Duncan's Minestrone Soup 400g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.59,0.56,kg,Specially Selected Tomato & Chilli Chutney 285g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,0.89,2.2,kg,Duncan's Lentil & Bacon Soup 400g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.89,2.3,kg,Duncan's Scotch Broth 380g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.54,2.7,kg,Everyday Essentials Roasted & Salted Peanuts 200g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.69,16.9,kg,Knoppers Milk Hazelnut Wafer 100g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.89,2.4,kg,Harvest Morn Choco Rice 375g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.49,7.8,kg,Specially Selected Tomato & Grilled Peppers Stir Throug,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.49,7.8,kg,Specially Selected Tomato & Olive Pasta Sauce 190g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,0.59,2.4,kg,Simmers Abernethy 250g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.35,9.0,kg,Snackrite Salted Peanuts & Cashews 150g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.35,9.0,kg,Snackrite Roasted & Salted Mixed Nuts 150g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.35,9.0,kg,Snackrite Roasted & Salted Peanuts & Cashews 150g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.99,10.0,kg,Choceur Milk & White Chocolate 200g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.25,7.5,kg,Werther's Original Eclairs 166g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.59,12.7,kg,Moser Roth Dark Chocolate Hazelnut Bars 5x25g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,0.49,2.0,kg,Four Seasons Chickpeas In Water 400g (240g Drained),1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.99,79.2,kg,Everyday Essentials Roasted Salted Cashews 125g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.33,1.4,kg,Everyday Essentials Red Kidney Beans In Water 400g (240,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.25,10.0,kg,Werther's Original Creamy Filling 125g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.49,99.3,kg,Snackrite Salted Cashews 150g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.7,0.5,kg,Everyday Essentials Self Raising Flour 1.5kg,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.69,6.6,kg,Specially Selected Creamy Caesar Salad Dressing 250g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.99,11.1,kg,Dairyfine Milk Chocolate Deeno The Dinosaur 10x18g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,0.79,20.8,l,The Pantry Madagascan Vanilla Extract 38ml,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.09,0.44,kg,Cucina Spinach & Ricotta Tortelloni 250g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.29,3.23,kg,Snackrite Roasted & Salted Peanuts 400g,1970-01-01 00:00:00.020240413,food_cupboard,False,1970,1,1,3
Aldi,1.49,4.1,kg,Specially Selected Jalfrezi Curry Sauce 360g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.49,4.1,kg,Specially Selected Rogan Josh Curry Sauce 360g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.49,4.1,kg,Specially Selected Balti Curry Sauce 360g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.49,4.1,kg,Specially Selected Madras Curry Sauce 360g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.49,4.1,kg,Specially Selected Korma Curry Sauce 360g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.49,4.1,kg,Specially Selected Tikka Masala Curry Sauce 360g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.49,4.1,kg,Specially Selected Butter Chicken Curry Sauce 360g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.49,4.4,kg,Specially Selected Hot & Spicy Cherry Tomato & Chilli P,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.49,4.4,kg,Specially Selected Full & Smoky Cherry Tomato & Pancett,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
Aldi,1.49,4.4,kg,Specially Selected Bolognese Pasta Sauce With Vino 340g,1970-01-01 00:00:00.020240413,food_cupboard,True,1970,1,1,3
